run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,mean_stressed_interval_width,operational_grid_cap_mw,reserve_soc_mwh,terminal_soc_target_mwh,load_stress_additive_mw,stress_interval_multiplier,faci_scale_bound_lower,faci_scale_bound_upper,unmet_load_penalty_per_mwh
20260216_092413,2026-02-16T09:24:29.483002,window,16.0,408.0,432.0,24.0,0.0,0.0,0.0,-29700.0,65722775.0,65722775.0,65693075.0,65693075.0,62223562.25981298,True,ok:optimal,1506.5599671402235,415.6027495559253,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,17.0,432.0,456.0,24.0,0.0,0.0,0.0,-29700.0,57802155.0,57802155.0,57772455.0,57772455.0,65404726.22812608,True,ok:optimal,2216.5479976316083,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,18.0,456.0,480.0,24.0,0.0,0.0,0.0,-27000.0,43950740.0,43950740.0,43923740.0,43923740.0,54930901.31383563,True,ok:optimal,2656.3942409116357,415.6027495559292,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,19.0,480.0,504.0,24.0,0.0,0.0,0.0,-27000.0,57403765.0,57403765.0,57376765.0,57376765.0,46496955.10655216,True,ok:optimal,1645.09421699224,415.60274955593496,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,20.0,504.0,528.0,24.0,0.0,0.0,0.0,-29700.0,63289695.0,63289695.0,63259995.0,63259995.0,63375332.069770426,True,ok:optimal,2665.0526315274133,415.60274955593405,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,21.0,528.0,552.0,24.0,0.0,0.0,0.0,-29700.0,76864935.0,76864935.0,76835235.0,76835235.0,64227302.10661091,True,ok:optimal,1471.9264046772394,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,22.0,552.0,576.0,24.0,0.0,0.0,0.0,-29700.0,79300755.0,79300755.0,79271055.0,79271055.0,77231479.71810652,True,ok:optimal,571.4537806393906,415.602749555928,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,23.0,576.0,600.0,24.0,0.0,0.0,0.0,-29700.0,79647845.0,79647845.0,79618145.0,79618145.0,79670928.27452604,True,ok:optimal,611.2823774718527,415.6027495559277,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,24.0,600.0,624.0,24.0,0.0,0.0,0.0,-29700.0,74280210.0,74280210.0,74250510.0,74250510.0,78324043.13208574,True,ok:optimal,1506.5599671402306,415.6027495559277,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,25.0,624.0,648.0,24.0,0.0,0.0,0.0,-27000.0,54763330.0,54763330.0,54736330.0,54736330.0,70096773.9431257,True,ok:optimal,2665.052631527378,415.6027495559277,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,26.0,648.0,672.0,24.0,0.0,0.0,0.0,-27000.0,55935530.0,55935530.0,55908530.0,55908530.0,57739087.116555154,True,ok:optimal,2441.6661536410784,415.6027495559304,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,27.0,672.0,696.0,24.0,0.0,0.0,0.0,-29700.0,73668450.0,73668450.0,73638750.0,73638750.0,61964737.111159235,True,ok:optimal,2665.052631527422,415.60274955593496,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,28.0,696.0,720.0,24.0,0.0,0.0,0.0,-29700.0,70729045.0,70729045.0,70699345.0,70699345.0,74308363.67448863,True,ok:optimal,1316.0753735937676,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,29.0,720.0,744.0,24.0,0.0,0.0,0.0,-29700.0,58461590.0,58461590.0,58431890.0,58431890.0,72001615.94123912,True,ok:optimal,2112.647310242622,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,30.0,744.0,768.0,24.0,0.0,0.0,0.0,-29700.0,60180390.0,60180390.0,60150690.0,60150690.0,60117547.643284336,True,ok:optimal,2434.73944114847,415.602749555928,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,31.0,768.0,792.0,24.0,0.0,0.0,0.0,-29700.0,69434105.0,69434105.0,69404405.0,69404405.0,59840043.2088902,True,ok:optimal,2043.3801853166344,415.6027495559271,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,32.0,792.0,816.0,24.0,0.0,0.0,0.0,-27000.0,61176260.0,61176260.0,61149260.0,61149260.0,65367139.38848187,True,ok:optimal,1974.1130603906483,415.6027495559265,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,33.0,816.0,840.0,24.0,0.0,0.0,0.0,-27000.0,62740250.0,62740250.0,62713250.0,62713250.0,63322507.77688657,True,ok:optimal,1368.025717288253,415.60274955592496,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,34.0,840.0,864.0,24.0,0.0,0.0,0.0,-29700.0,90747705.0,90747705.0,90718005.0,90718005.0,68845569.00796843,True,ok:optimal,2665.052631527377,415.6027495559268,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,35.0,864.0,888.0,24.0,0.0,0.0,0.0,-29700.0,86309960.0,86309960.0,86280260.0,86280260.0,91602087.51665196,True,ok:optimal,1714.3613419181893,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,36.0,888.0,912.0,24.0,0.0,0.0,0.0,-29700.0,78671990.0,78671990.0,78642290.0,78642290.0,87316509.71493554,True,ok:optimal,1610.460654529208,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,37.0,912.0,936.0,24.0,0.0,0.0,0.0,-29700.0,83194025.0,83194025.0,83164325.0,83164325.0,79556503.48139134,True,ok:optimal,1575.827092066212,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,38.0,936.0,960.0,24.0,0.0,0.0,0.0,-29700.0,76495645.0,76495645.0,76465945.0,76465945.0,82368138.77540909,True,ok:optimal,2129.9640914741126,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,39.0,960.0,984.0,24.0,0.0,0.0,0.0,-27000.0,71841050.0,71841050.0,71814050.0,71814050.0,72153328.92802995,True,ok:optimal,2665.0526315273696,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,40.0,984.0,1008.0,24.0,0.0,0.0,0.0,-27000.0,71793085.0,71793085.0,71766085.0,71766085.0,75289676.97505121,True,ok:optimal,2337.7654662520777,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,41.0,1008.0,1032.0,24.0,0.0,0.0,0.0,-29700.0,83880815.0,83880815.0,83851115.0,83851115.0,78876949.40339637,True,ok:optimal,2665.052631527371,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,42.0,1032.0,1056.0,24.0,0.0,0.0,0.0,-29700.0,75010435.0,75010435.0,74980735.0,74980735.0,85170430.74814287,True,ok:optimal,2129.964091474114,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,43.0,1056.0,1080.0,24.0,0.0,0.0,0.0,-29700.0,70517360.0,70517360.0,70487660.0,70487660.0,76244374.12253246,True,ok:optimal,1887.5291542331568,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,44.0,1080.0,1104.0,24.0,0.0,0.0,0.0,-29700.0,91025440.0,91025440.0,90995740.0,90995740.0,71829301.60830532,True,ok:optimal,2078.013747779622,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,45.0,1104.0,1128.0,24.0,0.0,0.0,0.0,-29700.0,79314970.0,79314970.0,79285270.0,79285270.0,89943155.83983827,True,ok:optimal,2216.5479976315983,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,46.0,1128.0,1152.0,24.0,0.0,0.0,0.0,-27000.0,68886600.0,68886600.0,68859600.0,68859600.0,74399984.26013204,True,ok:optimal,2078.013747779621,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,47.0,1152.0,1176.0,24.0,0.0,0.0,0.0,-27000.0,75202685.0,75202685.0,75175685.0,75175685.0,72280967.65544902,True,ok:optimal,2665.0526315273723,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,48.0,1176.0,1200.0,24.0,0.0,0.0,0.0,-29700.0,87948560.0,87948560.0,87918860.0,87918860.0,82576478.01298648,True,ok:optimal,2424.3493724095592,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,49.0,1200.0,1224.0,24.0,0.0,0.0,0.0,-29700.0,72043275.0,72043275.0,72013575.0,72013575.0,89597225.84174775,True,ok:optimal,2665.0526315273696,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,50.0,1224.0,1248.0,24.0,0.0,0.0,0.0,-29700.0,68975775.0,68975775.0,68946075.0,68946075.0,73944733.58684978,True,ok:optimal,2665.0526315273687,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,51.0,1248.0,1272.0,24.0,0.0,0.0,0.0,-29700.0,61499480.0,61499480.0,61469780.0,61469780.0,70529260.5631629,True,ok:optimal,2389.715809946568,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,52.0,1272.0,1296.0,24.0,0.0,0.0,0.0,-29700.0,68570395.0,68570395.0,68540695.0,68540695.0,61466420.80380541,True,ok:optimal,2607.9072534634292,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,53.0,1296.0,1320.0,24.0,0.0,0.0,0.0,-27000.0,55636750.0,55636750.0,55609750.0,55609750.0,65237953.0339283,True,ok:optimal,2417.4226599169633,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,54.0,1320.0,1344.0,24.0,0.0,0.0,0.0,-27000.0,62579415.0,62579415.0,62552415.0,62552415.0,59195727.28024981,True,ok:optimal,2372.3990287150714,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,55.0,1344.0,1368.0,24.0,0.0,0.0,0.0,-29700.0,69527910.0,69527910.0,69498210.0,69498210.0,68705790.66929796,True,ok:optimal,1887.529154233159,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,56.0,1368.0,1392.0,24.0,0.0,0.0,0.0,-29700.0,70389320.0,70389320.0,70359620.0,70359620.0,71148554.94366068,True,ok:optimal,2665.0526315273687,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,57.0,1392.0,1416.0,24.0,0.0,0.0,0.0,-29700.0,67485160.0,67485160.0,67455460.0,67455460.0,71971108.65498628,True,ok:optimal,2665.052631527375,415.6027495559268,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,58.0,1416.0,1440.0,24.0,0.0,0.0,0.0,-29700.0,61087260.0,61087260.0,61057560.0,61057560.0,69146321.7378134,True,ok:optimal,2613.102287832901,415.60274955592985,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,59.0,1440.0,1464.0,24.0,0.0,0.0,0.0,-29700.0,67757305.0,67757305.0,67727605.0,67727605.0,60960000.441357955,True,ok:optimal,2117.842344612115,415.6027495559359,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,60.0,1464.0,1488.0,24.0,0.0,0.0,0.0,-27000.0,60252340.0,60252340.0,60225340.0,60225340.0,63507615.13271531,True,ok:optimal,1246.8082486677877,415.6027495559302,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,61.0,1488.0,1512.0,24.0,0.0,0.0,0.0,-27000.0,54116825.0,54116825.0,54089825.0,54089825.0,63002074.31797101,True,ok:optimal,1679.7277794552058,415.6027495559302,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,62.0,1512.0,1536.0,24.0,0.0,0.0,0.0,-29700.0,66495865.0,66495865.0,66466165.0,66466165.0,60069173.99310143,True,ok:optimal,2665.0526315273887,415.6027495559307,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,63.0,1536.0,1560.0,24.0,0.0,0.0,0.0,-29700.0,77346340.0,77346340.0,77316640.0,77316640.0,68334307.59185985,True,ok:optimal,2429.544406779011,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,64.0,1560.0,1584.0,24.0,0.0,0.0,0.0,-29700.0,71967200.0,71967200.0,71937500.0,71937500.0,79099185.2363349,True,ok:optimal,2665.0526315273673,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,65.0,1584.0,1608.0,24.0,0.0,0.0,0.0,-29700.0,81699545.0,81699545.0,81669845.0,81669845.0,73712020.02111262,True,ok:optimal,2613.102287832878,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,66.0,1608.0,1632.0,24.0,0.0,0.0,0.0,-29700.0,83146335.0,83146335.0,83116635.0,83116635.0,80926213.70045593,True,ok:optimal,2256.3765944640422,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,67.0,1632.0,1656.0,24.0,0.0,0.0,0.0,-27000.0,77388420.0,77388420.0,77361420.0,77361420.0,78346800.20226139,True,ok:optimal,2389.715809946569,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,68.0,1656.0,1680.0,24.0,0.0,0.0,0.0,-27000.0,64854545.0,64854545.0,64827545.0,64827545.0,80325392.11653656,True,ok:optimal,1004.3733114268192,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,69.0,1680.0,1704.0,24.0,0.0,0.0,0.0,-29700.0,77955625.0,77955625.0,77925925.0,77925925.0,71322064.59855871,True,ok:optimal,1974.1130603906424,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,70.0,1704.0,1728.0,24.0,0.0,0.0,0.0,-29700.0,75536940.0,75536940.0,75507240.0,75507240.0,79133288.06661218,True,ok:optimal,1783.628466844178,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,71.0,1728.0,1752.0,24.0,0.0,0.0,0.0,-29700.0,70706315.0,70706315.0,70676615.0,70676615.0,76312428.51404724,True,ok:optimal,1246.8082486677793,415.6027495559262,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,72.0,1752.0,1776.0,24.0,0.0,0.0,0.0,-29700.0,64281890.0,64281890.0,64252190.0,64252190.0,71751691.50008094,True,ok:optimal,1575.827092066215,415.6027495559265,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,73.0,1776.0,1800.0,24.0,0.0,0.0,0.0,-29700.0,63528570.0,63528570.0,63498870.0,63498870.0,64114947.24172979,True,ok:optimal,2199.231216400108,415.6027495559268,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,74.0,1800.0,1824.0,24.0,0.0,0.0,0.0,-27000.0,57491590.0,57491590.0,57464590.0,57464590.0,60153261.65070999,True,ok:optimal,2112.6473102426244,415.6027495559277,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,75.0,1824.0,1848.0,24.0,0.0,0.0,0.0,-27000.0,58488050.0,58488050.0,58461050.0,58461050.0,60782911.23028121,True,ok:optimal,2498.8115317050074,415.6027495559277,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,76.0,1848.0,1872.0,24.0,0.0,0.0,0.0,-29700.0,69853310.0,69853310.0,69823610.0,69823610.0,64628895.45588971,True,ok:optimal,2251.1815600945906,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,77.0,1872.0,1896.0,24.0,0.0,0.0,0.0,-29700.0,58480785.0,58480785.0,58451085.0,58451085.0,71201235.71339975,True,ok:optimal,1904.845935464656,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,78.0,1896.0,1920.0,24.0,0.0,0.0,0.0,-29700.0,64674775.0,64674775.0,64645075.0,64645075.0,60792288.63646403,True,ok:optimal,2360.2772818530225,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,79.0,1920.0,1944.0,24.0,0.0,0.0,0.0,-29700.0,75195655.0,75195655.0,75165955.0,75165955.0,66328489.03694219,True,ok:optimal,2493.6164973355503,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,80.0,1944.0,1968.0,24.0,0.0,0.0,0.0,-29700.0,65229015.0,65229015.0,65199315.0,65199315.0,74864786.26064062,True,ok:optimal,2291.010156927036,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,81.0,1968.0,1992.0,24.0,0.0,0.0,0.0,-27000.0,59026070.0,59026070.0,58999070.0,58999070.0,61390037.61051309,True,ok:optimal,1939.4794979276448,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,82.0,1992.0,2016.0,24.0,0.0,0.0,0.0,-27000.0,70250465.0,70250465.0,70223465.0,70223465.0,62718625.27912991,True,ok:optimal,2320.448685020583,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,83.0,2016.0,2040.0,24.0,0.0,0.0,0.0,-29700.0,76882405.0,76882405.0,76852705.0,76852705.0,77548303.9672854,True,ok:optimal,2665.0526315273687,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,run_summary,,,,24.0,0.0,0.0,0.0,-28928.571428571428,67685666.54761904,67685666.54761904,67656737.97619048,67656737.97619048,68707661.51659267,True,summary,2075.0245414956235,415.6027495559271,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,0.0,24.0,48.0,24.0,0.0,0.0,0.0,-29700.0,64076805.0,64076805.0,64047105.0,64047105.0,58877061.56805084,True,ok:optimal,813.8887178803634,415.6027495559295,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,1.0,48.0,72.0,24.0,0.0,0.0,0.0,-29700.0,59548750.0,59548750.0,59519050.0,59519050.0,64777869.500888385,True,ok:optimal,1021.6900926583248,415.6027495559295,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,2.0,72.0,96.0,24.0,0.0,0.0,0.0,-29700.0,67755220.0,67755220.0,67725520.0,67725520.0,60399716.529988706,True,ok:optimal,1575.8270920662226,415.6027495559292,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,3.0,96.0,120.0,24.0,0.0,0.0,0.0,-29700.0,57126765.0,57126765.0,57097065.0,57097065.0,66765698.238242544,True,ok:optimal,1437.2928422142504,415.60274955592894,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,4.0,120.0,144.0,24.0,0.0,0.0,0.0,-27000.0,60027010.0,60027010.0,60000010.0,60000010.0,54384608.292453185,True,ok:optimal,2441.666153641079,415.60274955592985,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,5.0,144.0,168.0,24.0,0.0,0.0,0.0,-27000.0,49372540.0,49372540.0,49345540.0,49345540.0,62723677.10221404,True,ok:optimal,1697.0445606867297,415.6027495559347,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,6.0,168.0,192.0,24.0,0.0,0.0,0.0,-29700.0,60211165.0,60211165.0,60181465.0,60181465.0,54975987.02410667,True,ok:optimal,2665.0526315274287,415.6027495559359,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,7.0,192.0,216.0,24.0,0.0,0.0,0.0,-29700.0,61345625.0,61345625.0,61315925.0,61315925.0,60765908.691804126,True,ok:optimal,969.7397489638312,415.6027495559283,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,8.0,216.0,240.0,24.0,0.0,0.0,0.0,-29700.0,57819770.0,57819770.0,57790070.0,57790070.0,62459845.25650391,True,ok:optimal,1818.2620293071789,415.60274955592894,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,9.0,240.0,264.0,24.0,0.0,0.0,0.0,-29700.0,58933870.0,58933870.0,58904170.0,58904170.0,59056731.23825443,True,ok:optimal,2164.5976539371195,415.6027495559295,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,10.0,264.0,288.0,24.0,0.0,0.0,0.0,-29700.0,55252575.0,55252575.0,55222875.0,55222875.0,58639152.68581023,True,ok:optimal,1748.9949043811864,415.6027495559283,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,11.0,288.0,312.0,24.0,0.0,0.0,0.0,-27000.0,60587510.0,60587510.0,60560510.0,60560510.0,52716106.86953064,True,ok:optimal,2535.176772291155,415.6027495559295,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,12.0,312.0,336.0,24.0,0.0,0.0,0.0,-27000.0,50815365.0,50815365.0,50788365.0,50788365.0,62993789.74650281,True,ok:optimal,1368.0257172882675,415.60274955593104,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,13.0,336.0,360.0,24.0,0.0,0.0,0.0,-29700.0,70812630.0,70812630.0,70782930.0,70782930.0,56269605.789664805,True,ok:optimal,2665.0526315273864,415.6027495559302,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,14.0,360.0,384.0,24.0,0.0,0.0,0.0,-29700.0,64098575.0,64098575.0,64068875.0,64068875.0,72147825.054055,True,ok:optimal,2181.914435168602,415.6027495559247,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,15.0,384.0,408.0,24.0,0.0,0.0,0.0,-29700.0,61218745.0,61218745.0,61189045.0,61189045.0,65847296.18226634,True,ok:optimal,2656.3942409116194,415.6027495559247,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,16.0,408.0,432.0,24.0,0.0,0.0,0.0,-29700.0,65722775.0,65722775.0,65693075.0,65693075.0,62231589.133973315,True,ok:optimal,1454.6096234457336,415.6027495559253,,,,,,,,,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,17.0,432.0,456.0,24.0,0.0,0.0,0.0,-29700.0,57802155.0,57802155.0,57772455.0,57772455.0,65358876.20107653,True,ok:optimal,2112.647310242624,415.602749555928,,,,,,,,,10000.0
